name	types	source	description	prerequisites	benefit	normal	special	mythic	combat_trick	url
Blunt Blade	Blood Hex	Magic Tactics Toolbox pg. 28	With a single curse, you make your rival less fearsome in combat.	Int 13, base attack bonus +6, Use Magic Device 1 rank.	As a standard action, you can curse the accuracy of an enemy you have dealt damage to in the last minute. The target must succeed at a Fortitude save or it automatically fails to confirm all critical threats. This effect lasts for 1 round.		If a shaman or witch uses this blood hex, the target is unable to deal precision damage or sneak attack damage for the hex’s duration.			https://aonprd.com/FeatDisplay.aspx?ItemName=Blunt%20Blade
Cataract	Blood Hex	Magic Tactics Toolbox pg. 29	You can curse the eyes of a wounded enemy.	Int 13, Perception 5 ranks, Use Magic Device 1 rank.	As a full-round action, you can curse a creature you’ve dealt damage to since the beginning of your last turn. The creature must succeed at a Fortitude save or its eyes become milky and its vision is obscured. For 1 round, any target the creature makes a ranged touch attack against gains concealment for the purposes of that attack.		A shaman or witch with this blood hex can use it against any creature she has dealt damage to in the past minute. A shaman or witch can use this blood hex as a standard action.			https://aonprd.com/FeatDisplay.aspx?ItemName=Cataract
Consumption	Blood Hex	Magic Tactics Toolbox pg. 29	You cause your rivals to spend additional precious resources while wounded.	Int 13, Use Magic Device 5 ranks.	As a full-round action, you can curse a creature you’ve dealt damage to since the beginning of your last round to use certain powers quickly. The creature must succeed at a Fortitude save or if it uses any of the following class abilities during the next minute, it must spend at least two daily uses or rounds of that ability: arcane poolUM, arcane reservoirACG, bardic performance, bloodrageACG, bombAPG, inspirationACG, ki pool, mental focusOA, mesmerist trickOA, phrenic poolOA, rage, or raging songACG.		A shaman or witch can use this blood hex as a standard action.			https://aonprd.com/FeatDisplay.aspx?ItemName=Consumption
Falter	Blood Hex	Magic Tactics Toolbox pg. 29	You curse the blood of your foes, forcing them to falter in their subsequent actions.	Int 13, Spellcraft 5 ranks, Use Magic Device 5 ranks.	As a standard action, you can curse an enemy you’ve dealt damage to since your last turn. That target must succeed at a Will save or be unable to take a 5-foot step, delay an action, or ready an action for 1 round.		A shaman or witch with this blood hex can use it against any creature she has dealt damage to in the past minute. A creature affected by this blood hex used by a shaman or witch also has its movement rate halved for the blood hex’s duration.			https://aonprd.com/FeatDisplay.aspx?ItemName=Falter
Hinder	Blood Hex	Magic Tactics Toolbox pg. 29	You curse a bleeding opponent with uncertainty.	Int 13, Use Magic Device 5 ranks.	As a standard action, you can curse an enemy you’ve damaged with a melee attack in the last minute to become hesitant. The target must succeed at a Reflex save or take a –10 penalty on any initiative check it makes in the next minute.		If a shaman or witch uses this blood hex, the target is unable to take a full-attack action for 1 round. This effect can be extended with the cackle hex.			https://aonprd.com/FeatDisplay.aspx?ItemName=Hinder
Point-Blank Shot	Combat	PRPG Core Rulebook pg. 131	You are especially accurate when making ranged attacks against close targets.		You get a +1 bonus on attack and damage rolls with ranged weapons at ranges of up to 30 feet.			Your accuracy with ranged attacks is unmatched at pointblank range.<br>Prerequisites: Point-Blank Shot.<br>Benefit: The bonus on attack and damage rolls granted by Point-Blank Shot increases to +2. As a swift action, you can expend one use of mythic power to gain an additional bonus on these rolls equal to half your tier.		https://aonprd.com/FeatDisplay.aspx?ItemName=Point-Blank%20Shot
Shot on the Run	Combat	PRPG Core Rulebook pg. 133	You can move, fire a ranged weapon, and move again before your foes can react.	Dex 13, Dodge, Mobility, Point-Blank Shot, base attack bonus +4.	As a full-round action, you can move up to your speed and make a single ranged attack at any point during your movement.	You cannot move before and after an attack with a ranged weapon.		With ease, you can snap off two shots while dashing across the battlefield.<br>Prerequisites: Shot on the Run, base attack bonus +6.<br>Benefit: Whenever you use Shot on the Run, you can make two ranged attacks at your highest base attack bonus at any point during your movement, instead of just one.		https://aonprd.com/FeatDisplay.aspx?ItemName=Shot%20on%20the%20Run
Uncertainty	Blood Hex	Magic Tactics Toolbox pg. 29	When you draw a foe’s blood in combat, that creature begins to doubt its skills.	Int 13; Bluff, Diplomacy, and Intimidate 5 ranks.	As a full-round action, you can diminish the confidence of a creature you’ve dealt damage to within the last minute. That creature must succeed at a Will save or take a –6 penalty on skill checks for one of the following skills of your choice: Bluff, Diplomacy, or Intimidate. This ability lasts until the subject is healed of all hit point damage, up to a maximum of 1 hour.		A shaman or witch with this blood hex can use it as a standard action. Additionally, if a shaman or witch uses this blood hex, the target takes the penalty on Bluff, Diplomacy, and Intimidate checks.			https://aonprd.com/FeatDisplay.aspx?ItemName=Uncertainty
Combat Expertise	Combat	PRPG Core Rulebook pg. 119	You can increase your defense at the expense of your accuracy.	Int 13.	You can choose to take a –1 penalty on melee attack rolls and combat maneuver checks to gain a +1 dodge bonus to your Armor Class. When your base attack bonus reaches +4, and every +4 thereafter, the penalty increases by –1 and the dodge bonus increases by +1. You can only choose to use this feat when you declare that you are making an attack or a full-attack action with a melee weapon. The effects of this feat last until your next turn.			You can dart out of the way of attacks with skill and defiance.<br>Prerequisites: Combat Expertise.<br>Benefit: Whenever you use Combat Expertise, you gain an additional +2 dodge bonus to your Armor Class. You can expend one use of mythic power to negate the penalties on melee attack rolls and combat maneuver checks caused by using Combat Expertise for 1 minute.		https://aonprd.com/FeatDisplay.aspx?ItemName=Combat%20Expertise
Greater Called Shot	Called Shot	Ultimate Combat pg. 195	You can make multiple called shots where others could land but one.	Int 13, Combat Expertise, Improved Called Shot, base attack bonus +6.	Whenever you make an attack, you can choose to replace that attack with a called shot. You can make multiple called shots in a single round. Each additional called shot after the first made in the same round takes a –5 penalty. In addition, a called shot that deals half the creature’s hit points of damage (minimum 40) is a debilitating blow.	You can make only one called shot in a round as a full-round action. A called shot that deals 50 points of damage is a debilitating blow.				https://aonprd.com/FeatDisplay.aspx?ItemName=Greater%20Called%20Shot
Improved Called Shot	Called Shot	Ultimate Combat pg. 195	You are skilled at landing blows right where you want to.	Int 13, Combat Expertise.	You receive a +2 bonus on attack rolls when making a called shot. When taking a full-round or standard action that gives you multiple attacks, you can replace a single attack with a called shot. You may only attempt one called shot per round.	You can make one called shot per round as a full-round action.				https://aonprd.com/FeatDisplay.aspx?ItemName=Improved%20Called%20Shot
Adder Strike	Combat	Ultimate Combat pg. 89	You can quickly apply poison to gloved hands, protected feet, or other protected body parts, delivering the poison with your unarmed strikes.	Poison use class feature, Craft (alchemy) 1 rank, Improved Unarmed Strike.	As a swift action, you can apply one dose of contact or injury poison to two body parts that you use for unarmed strikes. You must still protect yourself against exposure to contact poisons you apply in this way.	Applying poison to a weapon or single piece of ammunition is a standard action.				https://aonprd.com/FeatDisplay.aspx?ItemName=Adder%20Strike
