name	slot	descriptors	effect	bind_effect	is_retold	source	url
Bloodburst Transmission	Blood, Chest, Shoulders	Disease, Teleportation	Infect others with a horrible disease and teleport through them.	Blood: Creatures take a day to save against your bloodburst, and you can become one with your disease.<br>Chest: Creatures take a day to save against your bloodburst, and you can become one with your disease.<br>Shoulders: Sense any creature infected with your bloodburst and teleport to them regardless of distance.		Akashic Horrors	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bloodeater's Belt	Belt		Your attacks inflict bleed damage.	Damage nearby bleeding creatures to heal.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bloodsense	Blood		You can sense your blood regardless of distance and can inject it into other creatures.	Use your blood to control other creatures.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bloodsense (Retold)	Blood, Headband				yes	Akasha Retold: Daevic	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bloodtinged Talismans	Hands					Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bloodvine Embrace	Hands	Brand, Poison	Damage the branded creature and steal their health.	Use stolen health to heal your allies.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Huay_Veil_List
Bloody Armory	Blood, Chest	Enhanced				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bloody Shroud	Body	Evil	Gain an aura that causes wounds to bleed uncontrollably.	Energy drain on a critical hit.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bloody Shroud (Retold)	Body				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Boatman's Ferry	Feet		Ignore difficult terrain and walk on water.	Maximise positive energy damage.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Body of Magic	Body		Gain spell resistance, boosted spell resistance against identified spells.	Spell resistance applies to all spells, even those that don't allow it.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Bonds of Freedom	Hands, Wrists	Enhanced, Paired	Create a spiked chain, ignore the hardness of restraining devices	Hands: Gain a bonus when escaping or helping others to escape.<br>Wrists: Gain Hands bind, use a mass version of freedom of movement.		Akasha Reshaped: Path of Enlightenment	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Boneforged Circlet	Head, Headband	Death				Akashic Horrors — Domains of the Dead	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Boneplate Vambraces	Wrists	Fleshwarp	Gain natural armor, improve your unarmed strikes.	Negate attacks with an immediate action.		Studio M— October 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Book and Quill of the Akashic Record	Hands	Enhanced	Create a book and quill that act as a dagger and light shield, gain bonuses to Knowledge checks.	Use different colors of ink that have various effects when attacking.		The Tome of Veils	https://metzo.miraheze.org/wiki/Guru_Veil_List
Book and Quill of the Akashic Record (Akasha Retold)	Hands	Acid, Cold, Electricity, Enhanced, Evil, Fire, Force, Good, Sonic			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Boots of the Stone Citadel	Feet	Earth				Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bracers of Oblivion	Wrists	Darkness, Emotion, Fear	Gain an aura that lowers light and protects allies from negative emotion effects.	Force fear upon attackers.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bracers of Oblivion (Retold)	Wrists	Darkness, Emotion, Fear, Mind-affecting			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bracers of the Waking Nightmare	Wrists	Fear, Mind-affecting	Target take penalties to senses and defenses, as well as a confusion-like effect.	Afflict more creatures with nightmares.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Huay_Veil_List
Braces of the Boulder	Wrists, Belt	Enhanced				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Brahma-Kavacha	Chest	Enhanced				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Brahmadanda	Hands, Wrists, Body	Abjuration, Enhanced				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Guru_Veil_List
Brahmastra	Storm	Fire, Force, Radiation				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
Bralani's Brooch	Neck, Shoulders	Electricity	Gain resistance to electricity.	Neck: Gain spell resistance.<br>Shoulders: Ranged attacks gain miss chance.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Huay_Veil_List
Bralani's Brooch (Retold)	Neck, Shoulders	Air, Electricity			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Huay_Veil_List
Branded Mimicry	Special	Brand	Shape into the same slot as a brand veil, copy that veil's effects.	Gain the bind effect of the copied veil.		Expanded Akasha: Spirits and Magic	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Breastplate of Bloody Conflict	Chest		Deal additional damage when suffering Bleed effects.	Deal vicious damage by bleeding self.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Breastplate of Bloody Conflict (Retold)	Chest				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Breastplate of the Righteous	Chest	Good, Law	Gain a mystical, weightless breastplate.	Gain bonus to saves & spell resistance.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Breastplate of the Righteous (Enhanced)	Chest	Enhanced, Good, Law	Gain a mystical, weightless breastplate.	Gain bonus to saves & spell resistance.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Breeches of the Pale Rider	Feet, Belt	Cold, Summoning	Summon a pale horse that can walk through snow and on water without hindrance.	Feet: Leave freezing trail.<br>Belt: Ride at speed on frozen air.		Studio M— December 2020 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Broken Shackles	Wrists		Resist being physically controlled.	Burn 2 essence to gain freedom of movement.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Broken Shackles (Akasha Retold)	Wrists				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Brooch of the Guardian	Wrists, Neck, Body	Teleportation	Take damage in place of other creatures, grant them temporary hit points	Wrists: Increases the range of the veil to Medium.<br>Neck: Increases the range of the veil to Long, redirect more damage.<br>Body: Redirect all damage, teleport to wards at any range.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Brooch of the Guardian (Retold)	Wrists, Neck, Body	Teleportation			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Brume Treads	Feet		Ignore difficult terrain and gain a bonus to Acrobatics.	Ignore speed penalties.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Brutal Jape	Wrists, Shoulders	Dao, Enhanced, Mind-affecting, Sonic				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Burst Energy Sheath	Hands, Belt	Enhanced, Force, Variant				Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Burst Pincers	Wrists	Fleshwarp, Sonic	Replace your hands with pincer natural attacks, make a sonic burst when you attack	Make more bursts, stagger creatures that are deafened		Eldritch Akasha — Obsessions of Mortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bushi's Scabbard	Belt, Hands	Enhanced	Create a scabbard that acts as a spiked light shield and can hold [enhanced (weapon)] veils.	Belt: Make an iaijutsu counter attack when a foe attacks you.<br>Hands: Make an iaijutsu strike that treats foes as flat-footed and deals extra damage.		Studio M— November 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bushi's Scabbard (Retold)	Hands, Belt	Enhanced			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Buzzing Cloak	Shoulders	Fleshwarp, Sonic	Gain insect wings that allow you to glide and distract creatures around you.	Gain a fly speed, deal sonic damage and deafen creatures with your wings.		Studio M— October 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Calavera Mask	Head, Headband	Necromancy	Gain bonuses against undead, cast grave words as an SLA.	Head: Undead creatures become friendly to you.<br>Headband: Commune with the dead and keep them from attacking.		Akashic Tales: Hallow Icons	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Cape of the Wanderer	Shoulders	Divination	You always know where you are, gain bonuses to Survival and Knowledge checks to navigate.	Sense route to chosen locale.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Captain's Guided Hand	Hands		Gain bonus to Fly and Ride checks.	Ignore difficult terrain on vehicles.		Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Captor's Chain	Wrists	Steady	Entangle a foe and root them to the ground.	Make drag and reposition attempts against bound creatures.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Cardinal's Cape	Body, Shoulders	Healing	Gain bonuses vs ability damage, drain, and death effects.	Body: Immunity to ability damage & drain, energy drain & death effects, heal in response to protection.<br>Shoulders: Increase bonuses & healing on success.		Classes of the Lost Spheres: Zodiac	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Cardinal's Cape (Retold)	Shoulders, Body	Healing			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Cat's Scratch	Hands, Wrists	Dao, Enhanced				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Catching Edge	Hands	Enhanced	Create a swordbreaker dagger that can deflect attacks and steal weapons.	Creatures you deflect suffer penalties when attacking you.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Catrina's Sarong	Belt	Cold, Death	Gain bonuses to grapple, deal cold damage to grappled creatures.	Gain a damaging & death-inducing kiss.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Caustic Veil	Headband	Acid, Pain, Variant	Veil amplifies acid damage.	Weaken attack rolls, skill and ability checks with acid damage.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Huay_Veil_List
Caustic Veil (Akasha Retold)	Headband	Acid, Variant			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Celestial Dragon Sword	Hands, Wrists					Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Celestial Tiara	Head, Headband	Figment, Good, Light, Mind-affecting				Echoes of Magic — What Is Spoken	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ceradon's Eternity	Body, Chest		Suppress recurring effects.	Chest: Suppress recurring effects.<br>Body: Run down duration of effects while in stasis Counter temporal spells.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Cerebral Catastrophe Cinch	Belt	Mind-affecting	React to targeted spells with bursts of disruptive mental energy.	Counter-burst confuses.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Cerebral Catastrophe Cinch (Retold)	Belt	Compulsion, Mind-affecting			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Cerulean Bow	Hands	Enhanced	This longbows stores shots in a quiver to fire later.	Combine shots into a single devastating arrow.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Chain of Binding Commandments	Neck	Curse, Language-dependent, Mind-affecting	Gain command as an SLA, create magical contracts.	Your command affects multiple creatures and you can create contracts with the unwilling.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Guru_Veil_List
Chain of Binding Commandments (Akasha Retold)	Neck	Curse, Language-dependent, Mind-affecting			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Chains of Bloody Construction	Wrists, Neck	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Chains of Willful Sacrifice	Hands	Healing, Variant	Sacrifice your own health to heal another, meditate to heal yourself.	Further improves the healing you can provide others.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Guru_Veil_List
Chains of the Hungering One	Wrists, Belt	Force				Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Challenger's Choker	Neck	Emotion, Mind-affecting, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Chameleon Skin	Shoulders, Body	Fear, Fleshwarp	Gain bonuses to stealth, force creatures into disadvantage when they attack you.	Shoulders: Hide in plain sight and move quickly in stealth.<br>Body: Gain Shoulders bind, force creatures into disadvantage more often.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Charred Angelic Wings	Shoulders	Steady	Strike down flying creatures with fire damage.	Deal additional damage to creatures with a fly speed.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Chelicerae of Manipulation	Head	Fleshwarp	Gain a bite natural attack, use your mouth as a hand.	Grapple creatures with your bite attack.		Eldritch Akasha — Obsessions of Mortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Chitinplate	Shoulders	Fleshwarp	Create heavy armor that grants a natural armor bonus.	Lock up your armor to gain increased AC and DR/-.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Choker of Blood Puppetry	Neck	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Chronomancer's Jinx	Shoulders	Brand	Branded creatures who perform standard or full round actions are staggered.	Full round actions daze the branded creature.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Cincture of the Dragon	Belt, Chest		Gain an enhancement bonus to natural armor.	Belt: Conjure stunning barrier.<br>Chest: Transform into a dragon.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Cincture of the Dragon (Retold)	Belt, Chest				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Circlet of Brass	Headband	Fire	Increase the power of spells and abilities which deal fire damage.	Unleash burning ray		Akashic Mysteries	https://metzo.miraheze.org/wiki/Guru_Veil_List
Circlet of Brass (Retold)	Headband	Fire			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Guru_Veil_List
Circlet of Magic Manipulation	Head, Headband	Abjuration				Classes of the Lost Spheres: Spellweaver	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Citadel Banner	Shoulders		Claim an area, gain bonuses while in that area.	Teleport within your area.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Cloak of Bladed Evasion	Shoulders					Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Cloak of Darkness	Shoulders	Darkness	Gain bonuses to AC and Stealth checks that increase in darkness, but are suppressed in light.	Use shadow conjuration to unleash illusionary creations.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
